,month_date
0,19901201
1,19910101
2,19910201
3,19910301
4,19910401
5,19910501
6,19910601
7,19910701
8,19910801
9,19910901
10,19911001
11,19911101
12,19911201
13,19920101
14,19920201
15,19920301
16,19920401
17,19920501
18,19920601
19,19920701
20,19920801
21,19920901
22,19921001
23,19921101
24,19921201
25,19930101
26,19930201
27,19930301
28,19930401
29,19930501
30,19930601
31,19930701
32,19930801
33,19930901
34,19931001
35,19931101
36,19931201
37,19940101
38,19940201
39,19940301
40,19940401
41,19940501
42,19940601
43,19940701
44,19940801
45,19940901
46,19941001
47,19941101
48,19941201
49,19950101
50,19950201
51,19950301
52,19950401
53,19950501
54,19950601
55,19950701
56,19950801
57,19950901
58,19951001
59,19951101
60,19951201
61,19960101
62,19960201
63,19960301
64,19960401
65,19960501
66,19960601
67,19960701
68,19960801
69,19960901
70,19961001
71,19961101
72,19961201
73,19970101
74,19970201
75,19970301
76,19970401
77,19970501
78,19970601
79,19970701
80,19970801
81,19970901
82,19971001
83,19971101
84,19971201
85,19980101
86,19980201
87,19980301
88,19980401
89,19980501
90,19980601
91,19980701
92,19980801
93,19980901
94,19981001
95,19981101
96,19981201
97,19990101
98,19990201
99,19990301
100,19990401
101,19990501
102,19990601
103,19990701
104,19990801
105,19990901
106,19991001
107,19991101
108,19991201
109,20000101
110,20000201
111,20000301
112,20000401
113,20000501
114,20000601
115,20000701
116,20000801
117,20000901
118,20001001
119,20001101
120,20001201
121,20010101
122,20010201
123,20010301
124,20010401
125,20010501
126,20010601
127,20010701
128,20010801
129,20010901
130,20011001
131,20011101
132,20011201
133,20020101
134,20020201
135,20020301
136,20020401
137,20020501
138,20020601
139,20020701
140,20020801
141,20020901
142,20021001
143,20021101
144,20021201
145,20030101
146,20030201
147,20030301
148,20030401
149,20030501
150,20030601
151,20030701
152,20030801
153,20030901
154,20031001
155,20031101
156,20031201
157,20040101
158,20040201
159,20040301
160,20040401
161,20040501
162,20040601
163,20040701
164,20040801
165,20040901
166,20041001
167,20041101
168,20041201
169,20050101
170,20050201
171,20050301
172,20050401
173,20050501
174,20050601
175,20050701
176,20050801
177,20050901
178,20051001
179,20051101
180,20051201
181,20060101
182,20060201
183,20060301
184,20060401
185,20060501
186,20060601
187,20060701
188,20060801
189,20060901
190,20061001
191,20061101
192,20061201
193,20070101
194,20070201
195,20070301
196,20070401
197,20070501
198,20070601
199,20070701
200,20070801
201,20070901
202,20071001
203,20071101
204,20071201
205,20080101
206,20080201
207,20080301
208,20080401
209,20080501
210,20080601
211,20080701
212,20080801
213,20080901
214,20081001
215,20081101
216,20081201
217,20090101
218,20090201
219,20090301
220,20090401
221,20090501
222,20090601
223,20090701
224,20090801
225,20090901
226,20091001
227,20091101
228,20091201
229,20100101
230,20100201
231,20100301
232,20100401
233,20100501
234,20100601
235,20100701
236,20100801
237,20100901
238,20101001
239,20101101
240,20101201
241,20110101
242,20110201
243,20110301
244,20110401
245,20110501
246,20110601
247,20110701
248,20110801
249,20110901
250,20111001
251,20111101
252,20111201
253,20120101
254,20120201
255,20120301
256,20120401
257,20120501
258,20120601
259,20120701
260,20120801
261,20120901
262,20121001
263,20121101
264,20121201
265,20130101
266,20130201
267,20130301
268,20130401
269,20130501
270,20130601
271,20130701
272,20130801
273,20130901
274,20131001
275,20131101
276,20131201
277,20140101
278,20140201
279,20140301
280,20140401
281,20140501
282,20140601
283,20140701
284,20140801
285,20140901
286,20141001
287,20141101
288,20141201
289,20150101
290,20150201
291,20150301
292,20150401
293,20150501
294,20150601
295,20150701
296,20150801
297,20150901
298,20151001
299,20151101
300,20151201
301,20160101
302,20160201
303,20160301
304,20160401
305,20160501
306,20160601
307,20160701
308,20160801
309,20160901
310,20161001
311,20161101
312,20161201
313,20170101
314,20170201
315,20170301
316,20170401
317,20170501
318,20170601
319,20170701
320,20170801
321,20170901
322,20171001
323,20171101
324,20171201
325,20180101
326,20180201
327,20180301
328,20180401
329,20180501
330,20180601
331,20180701
332,20180801
333,20180901
334,20181001
335,20181101
336,20181201
337,20190101
338,20190201
339,20190301
340,20190401
341,20190501
342,20190601
343,20190701
344,20190801
345,20190901
346,20191001
347,20191101
348,20191201
349,20200101
350,20200201
351,20200301
352,20200401
353,20200501
354,20200601
355,20200701
356,20200801
357,20200901
358,20201001
359,20201101
360,20201201
